Drifter SN,Lat_decimal,Lon_decimal,Date (MM/DD/YYYY),Time,Type
67837710,13.860833,86.484167,05/06/2025,0758 UTC,DWSD
67837940,13.3443,86.5002,05/06/2025,1400 UTC,DWSD
67837710,13.8695,86.484,05/06/2025,1505 UTC,DWSD
67836710,12.796667,86.511667,05/06/2025,1649 UTC,DWSD
67837560,12.308333,86.511167,05/06/2025,1925 UTC,DWSD
67836720,11.996467,85.999783,05/09/2025,0237 UTC,DWSD
67930390 (DWSBWD),11.4935,85.99715,05/09/2025,0503 UTC,DWSBWD
67837720,11.002417,86.000067,05/09/2025,0727 UTC,DWSD
67838570,11.0005,86.497933,05/09/2025,0948 UTC,DWSD
67837570,11.5035,86.500833,05/09/2025,1215 UTC,DWSD
67837590,11.984883,86.5005,05/09/2025,1438 UTC,DWSD
67837730,13.3325,87.493583,05/11/2025,0049 UTC,DWSD
67930330 (DWSBWD),13.1705,87.500083,05/11/2025,0243 UTC,DWSBWD
67836990,12.636333,87.921833,05/11/2025,1051 UTC,DWSD
67838590,11.887333,88.620667,05/12/2025,0120 UTC,DWSD
